sku,nombre,precio,costo_reposicion,stock_inicial,stock_minimo,gaveta
SKU-0001,Diodo rectificador 1N4001 50V 1A,3,3,50,5,C1-S1-R1-P1
SKU-0002,Diodo rectificador 1N4002 50V 1A,3,3,50,5,C1-S1-R1-P2
SKU-0003,Diodo rectificador 1N4003 50V 1A,3,3,50,5,C1-S1-R1-P3
SKU-0004,Diodo rectificador 1N4004 50V 1A,3,3,50,5,C1-S1-R1-P4
SKU-0005,Diodo rectificador 1N4005 50V 1A,3,3,50,5,C1-S1-R1-P5
SKU-0006,Diodo rectificador 1N4006 50V 1A,3,3,50,5,C1-S1-R1-P6
SKU-0007,Diodo rectificador 1N4007 50V 1A,3,3,50,5,C1-S1-R1-P7
SKU-0008,Diodo rectificador 1N4148 100V 1A,3,3,50,5,C1-S1-R1-P8
SKU-0009,Diodo rectificador 1N5406 600V 3A,3,3,50,5,C1-S1-R2-P1
SKU-0010,Diodo Schottky 1N5819 40V 1A,5,5,20,5,C1-S1-R2-P2
SKU-0011,Diodo MUR460 600V 4A,15,15,20,5,C1-S1-R2-P3
SKU-0012,Diodo MUR160 600V 1A,15,15,20,5,C1-S1-R2-P4
SKU-0013,Diodo MUR1560 600V 15A,15,15,20,5,C1-S1-R2-P5
SKU-0014,Diodo zener 1N4728 3.3V 1W,5,5,20,5,C1-S1-R2-P6
SKU-0015,Diodo zener 1N4729 3.6V 1W,5,5,20,5,C1-S1-R2-P7
SKU-0016,Diodo zener 1N4733 5.1V 1W,5,5,20,5,C1-S1-R2-P8
SKU-0017,Diodo zener 1N4735 6.2V 1W,5,5,20,5,C1-S1-R3-P1
SKU-0018,Diodo zener 1N4736 6.8V 1W,5,5,20,5,C1-S1-R3-P2
SKU-0019,Diodo zener 1N4737 7.5V 1W,5,5,20,5,C1-S1-R3-P3
SKU-0020,Diodo zener 1N4738 8.2V 1W,5,5,20,5,C1-S1-R3-P4
SKU-0021,Diodo zener 1N4739 9.1V 1W,5,5,20,5,C1-S1-R3-P5
SKU-0022,Diodo zener 1N4741 11V 1W,5,5,20,5,C1-S1-R3-P6
SKU-0023,Diodo zener 1N4750 27V 1W,5,5,20,5,C1-S1-R3-P7
SKU-0024,Fotodiodo Receptor Infrarrojo 5mm,10,10,20,5,C1-S1-R3-P8
SKU-0025,LED 5mm Opaco Amarillo,3,3,50,5,C1-S1-R4-P1
SKU-0026,LED 5mm Opaco Azul,3,3,50,5,C1-S1-R4-P2
SKU-0027,LED 5mm Opaco Blanco,3,3,50,5,C1-S1-R4-P3
SKU-0028,LED 5mm Opaco Rojo,3,3,50,5,C1-S1-R4-P4
SKU-0029,LED 5mm Opaco Verde,3,3,50,5,C1-S1-R4-P5
SKU-0030,Led Laser Rojo 5V 650nm 5mW/GP-3C,3,3,50,5,C1-S1-R4-P6
SKU-0031,Led RGB 5mm Catodo Comun/GP-4C,3,3,50,5,C1-S1-R4-P7
SKU-0032,Led RGB Flash Camaleon 5mm/K50,3,3,50,5,C1-S1-R4-P8
SKU-0033,LED 12V 10W blanco frío,3,3,50,5,C1-S1-R5-P1
SKU-0034,LED 12V 10W azul,3,3,50,5,C1-S1-R5-P2
SKU-0035,Led infrarrojo 5mm,25,25,10,5,C1-S1-R5-P3
SKU-0036,Led RGB 5mm Anodo Comun,12,12,25,5,C1-S1-R5-P4
SKU-0037,Led UV 5mm 365-370nm,8,8,10,5,C1-S1-R6-P1
SKU-0038,Modulo Semaforo LED 5V 10mm,50,50,5,5,C1-S1-R6-P2
SKU-0039,Pantalla OLED 0.96  Interfaz I2C,50,50,5,5,C1-S1-R6-P3
SKU-0040,Barra Led 10 segmentos Rojo,6,6,25,5,C1-S1-R6-P4
SKU-0041,Display 7 Segmentos 4 Digitos CC,6,6,25,5,C1-S1-R7-P1
SKU-0042,Display 7 Segmentos Catodo Comun,6,6,25,5,C1-S1-R7-P2
SKU-0043,Display 7 Segmentos Anodo Comun,40,40,10,5,C1-S1-R7-P3
SKU-0044,Display 7 Segmentos 3 Digitos CC,100,100,10,5,C1-S1-R7-P4
SKU-0045,Display 7 Segmentos 2 Digitos CC,30,30,10,5,C1-S2-R1-P1
SKU-0046,Puente rectificador KBU1010 1kV 10A,40,40,5,5,C1-S2-R1-P2
SKU-0047,Puente rectificador 2W10 50V 2A,15,15,20,5,C1-S2-R1-P3
SKU-0048,Puente rectificador GBU6B 100V 6A/,15,15,20,5,C1-S2-R1-P4
SKU-0049,Tiristor SCR 2N5064 200V 800mA,35,35,10,5,C1-S2-R1-P5
SKU-0050,Tiristor SCR C106M 600V 20A,30,30,10,5,C1-S2-R1-P6
SKU-0051,Optoacoplador 4N35/D24,35,35,10,5,C1-S2-R1-P7
SKU-0052,Optoacoplador 4N25/D24,25,25,10,5,C1-S2-R1-P8
SKU-0053,Optoacoplador TRIAC MOC3021/D34,30,30,10,5,C1-S2-R2-P1
SKU-0054,Optoacoplador TRIAC MOC3041/D34,13,13,15,5,C1-S2-R2-P2
SKU-0055,Optoacoplador TRIAC MOC3011/D34,30,30,15,5,C1-S2-R2-P3
SKU-0056,Transistor BJT NPN 2N2222 30V 800mA 500mW,15,15,15,5,C1-S2-R2-P4
SKU-0057,Transistor BJT NPN BC547 45V 100mA 500mW/,15,15,15,5,C1-S2-R2-P5
SKU-0058,Transistor Darlington BJT NPN TIP120 60V 5A 2W,15,15,15,5,C1-S2-R2-P6
SKU-0059,Transistor Darlington NPN TIP41C 100V 6A 65W,15,15,15,5,C1-S2-R2-P7
SKU-0060,Transistor Darlington BJT NPN TIP121 80V 5A 65W,15,15,15,5,C1-S2-R2-P8
SKU-0061,Transistor BJT PNP S8550 25V 1.5A 1W,18,18,20,5,C1-S2-R3-P1
SKU-0062,Transistor BJT PNP 2N3906 40V 200mA 625mW,5,5,50,5,C1-S2-R3-P2
SKU-0063,Transistor BJT PNP BC327 45V 800mA 1.5W,5,5,50,5,C1-S2-R3-P3
SKU-0064,Transistor BJT PNP BC557 45V 100mA 500mW,5,5,50,5,C1-S2-R3-P4
SKU-0065,Transistor Darlington BJT PNP TIP42C 100V 6A 2W,18,18,20,5,C1-S2-R3-P5
SKU-0066,Regulador LM317T 1.2V a 37V 1.5A,15,15,20,5,C1-S2-R3-P6
SKU-0067,Regulador LM7805CV 5V 1.5A,15,15,20,5,C1-S2-R3-P7
SKU-0068,Regulador LM7812CV 12V 1.5A,15,15,20,5,C1-S2-R3-P8
SKU-0069,Regulador LM7912CV -12V 1.5A,15,15,20,5,C1-S2-R4-P1
SKU-0070,Regulador LM337T -50V a -4.2V 1.5A,15,15,20,5,C1-S2-R4-P2
SKU-0071,Regulador LM7905CV -5V 1.5A,15,15,20,5,C1-S2-R4-P3
SKU-0072,Sensor de temperatura analógico LM35DZ,70,70,5,5,C1-S2-R4-P4
SKU-0073,NE555P - TimeR,15,15,10,5,C1-S2-R4-P5
SKU-0074,Sensor Infrarrojo CNY70,15,15,10,5,C1-S2-R4-P6
SKU-0075,Pantalla LCD 16x2/M1-H6,75,75,5,5,C1-S2-R4-P7
SKU-0076,MOSFET canal N IRL540 100V 28A,18,18,10,5,C1-S2-R4-P8
SKU-0077,MOSFET canal N IRF3205 55V 110A,18,18,10,5,C1-S2-R5-P1
SKU-0078,MOSFET canal N IRL640A 200V 18A,18,18,10,5,C1-S2-R5-P2
SKU-0079,Modulo Infrarrojo TCRT5000,18,18,10,5,C1-S2-R5-P3
SKU-0080,MOSFET canal N IRL520N 100V 9.2A,18,18,10,5,C1-S2-R5-P4
SKU-0081,Disipador de aluminio TO 220,18,18,10,5,C1-S2-R5-P5
SKU-0082,MOSFET canal N IRF840 500V 8A,18,18,50,5,C1-S2-R5-P6
SKU-0083,MOSFET canal N IRFZ44N 55V 49A,18,18,50,5,C1-S2-R5-P7
SKU-0084,Sensor De Efecto Hall US1881KUA,12,12,5,5,C1-S2-R5-P8
SKU-0085,Opam JFET TL084CN Amplificador Operacional,15,15,20,5,C1-S2-R6-P1
SKU-0086,Opam LM324N Amplificador operacional,15,15,20,5,C1-S2-R6-P2
SKU-0087,Opam LM741 Amplificador operacional,12,12,20,5,C1-S2-R6-P3
SKU-0088,Opam JFET TL081CN Amplificador Operaciona,12,12,20,5,C1-S2-R6-P4
SKU-0089,Opam LM358N Amplificador Operacional,12,12,20,5,C1-S2-R6-P5
SKU-0090,Opam JFET TL071CN Amplificador Operacional,12,12,20,5,C1-S2-R6-P6
SKU-0091,Manejador de display de barras LM3914/I88,65,65,10,5,C1-S2-R6-P7
SKU-0092,Matriz de transistores darlington ULN2803APG/D23,15,15,10,5,C1-S2-R6-P8
SKU-0093,Optoacoplador IGBT TLP251/D39,35,35,10,5,C1-S2-R7-P1
SKU-0094,Electrodos desechables para ECG EMG,15,15,20,5,C1-S2-R7-P2
SKU-0095,Broche Pila 9V Con Plug,12,12,10,5,C1-S2-R7-P3
SKU-0096,Perilla Plastica Roja Para Pot 6mm,10,10,10,5,C1-S2-R7-P4
SKU-0097,Porta Pila 9V,15,15,10,5,C1-S2-R7-P5
SKU-0098,Perilla Plastica Verde Para Pot 6mm,10,10,10,5,C1-S2-R7-P6
SKU-0099,Porta Pilas AA para 2,15,15,10,5,C1-S2-R7-P7
SKU-0100,Helices pequeñas de 56x2mm para motores,15,15,10,5,C1-S2-R7-P8
SKU-0101,Sensor de sonido Microfono Electret 9x7mm,12,12,10,5,C1-S2-R8-P1
SKU-0102,Termistort tipo gota NTC 10KR,5,5,10,5,C1-S2-R8-P2
SKU-0103,Termistort tipo gota NTC 1KR,5,5,10,5,C1-S2-R8-P3
SKU-0104,Sensor ultrasonico HC-SR04,45,45,5,5,C1-S2-R8-P4
SKU-0105,MPS20N0040D-S Sensor de Presión 40KPa,80,80,5,5,C1-S2-R8-P5
SKU-0106,Sensor De Temperatura Y Humedad DHT11 KY-015,40,40,5,5,C1-S2-R8-P6
SKU-0107,YL-69 FC-28 Sensor de Humedad en Suelo,25,25,5,5,C1-S2-R8-P7
SKU-0108,Modulo PIR HC-SR501 De Presencia,40,40,5,5,C1-S2-R8-P8
SKU-0109,Modulo de Luz LDR LM393,25,25,5,5,C1-S3-R1-P1
SKU-0110,Sensor Optico de Herradura ITR8102,15,15,5,5,C1-S3-R1-P2
SKU-0111,Base Sensor ultrasonico,25,25,5,5,C1-S3-R1-P3
SKU-0112,Sensor de temperatura digital DS18B20 de acero inoxidable,60,60,5,5,C1-S3-R1-P4
SKU-0113,Sensor de nivel de agua,30,30,5,5,C1-S3-R1-P5
SKU-0114,YL-69 FC-28 Sensor de Humedad en Suelo,45,45,5,5,C1-S3-R1-P6
SKU-0115,Sensor de Gas Calidad del Aire MQ135,60,60,5,5,C1-S3-R1-P7
SKU-0116,Modulo QTR-8A IR de 8 canales,65,65,5,5,C1-S3-R1-P8
SKU-0117,TRT Bornera KF301-2 Pines,5,5,20,5,C1-S3-R2-P1
SKU-0118,Tira Pines Header Hembra 40 Pines,22,22,20,5,C1-S3-R2-P2
SKU-0119,Tira Pines Header Macho 40 Pines,22,22,20,5,C1-S3-R2-P3
SKU-0120,Base Socket DIP 8 Pines,7,7,20,5,C1-S3-R2-P4
SKU-0121,TRT Bornera KF301-3 Pines,7,7,20,5,C1-S3-R2-P5
SKU-0122,Baquelita Perforada Doble Cara 8x6cm,29,29,20,5,C1-S3-R2-P6
SKU-0123,Base Socket DIP 14 Pines,4,4,20,5,C1-S3-R2-P7
SKU-0124,Tira Pines Header Hembra Apilable 8P,6,6,20,5,C1-S3-R2-P8
SKU-0125,Placa Fenolica una Cara 10x5cm/Empaque,12,12,20,5,C1-S3-R3-P1
SKU-0126,Molex JST XH2.54mm de 3 Pines Macho,4,4,20,5,C1-S3-R3-P2
SKU-0127,Molex JST XH2.54mm de 2 Pines Macho,3,3,20,5,C1-S3-R3-P3
SKU-0128,Tira Pines Header Macho 90° 40 Pines,22,22,20,5,C1-S3-R3-P4
SKU-0129,Terminal banana hembra 4mm,10,10,20,5,C1-S3-R3-P5
SKU-0130,Baquelita Perforada Doble Cara 4x6cm,20,20,20,5,C1-S3-R3-P6
SKU-0131,Tira Pines Header Hembra Apilable 10P/C99,8,8,20,5,C1-S3-R3-P7
SKU-0132,Modulo breakout interfaz jack 3.5mm/L86,8,8,20,5,C1-S3-R3-P8
SKU-0133,Tira Pines Header Hembra 40 Pines redondo/C93,15,15,20,5,C1-S3-R4-P1
SKU-0134,Base Socket DIP 18 Pines/G28,5,5,20,5,C1-S3-R4-P2
SKU-0135,Molex JST XH2.54mm de 4 pines Macho/C77,5,5,20,5,C1-S3-R4-P3
SKU-0136,Jumper o Puente Cortocircuitable/H63,2,2,20,5,C1-S3-R4-P4
SKU-0137,Conector power jack socket hembra de 5.5mm/C94,6,6,20,5,C1-S3-R4-P5
SKU-0138,Base Socket DIP 4 Pines/K65,2,2,20,5,C1-S3-R4-P6
SKU-0139,Base Socket DIP 28 Pines/G28,8,8,20,5,C1-S3-R4-P7
SKU-0140,Tira Pines Header Hembra Apilable 4P/C99,5,5,20,5,C1-S3-R4-P8
SKU-0141,Bornera 8P KF2EDGV-8P 2.54MM/C83,12,12,20,5,C1-S3-R5-P1
SKU-0142,Tira Pines Header Doble Macho 2x40 Pines/C89,12,12,20,5,C1-S3-R5-P2
SKU-0143,Tira Pines Header Hembra Apilable 6P/C99,5,5,20,5,C1-S3-R5-P3
SKU-0144,Modulo breakout interfaz jack 3.5mm/C94,8,8,20,5,C1-S3-R5-P4
SKU-0145,Resistencia 0.5W 5% 100R,2,2,30,5,C1-S3-R6-P1
